2026-01-19T22:44:58.631494 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:44:58.631559 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:44:58.631593 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:44:58.631621 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:44:58.631657 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:44:58.631686 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:44:58.631713 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:44:58.632250 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:44:58.635145 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:44:58.635233 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:45:33.462561 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:45:33.732117 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:45:34.154685 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:45:34.154906 | INFO     | wrapper      | Starting MCP Server on localhost:8776
2026-01-19T22:45:34.155626 | INFO     | wrapper      | Route:  -> None
2026-01-19T22:45:34.155742 | INFO     | wrapper      | Mounted app routes: [Route(path='/mcp', name='StreamableHTTPASGIApp', methods=[])]
2026-01-19T22:45:34.182829 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:45:34.184866 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:45:34.184918 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:45:34.184953 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:45:34.184986 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:45:34.185017 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:45:34.185049 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:45:34.185074 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:45:34.185592 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:45:34.188315 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:45:34.188438 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:45:35.617203 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:45:35.617809 | INFO     | session_manager | Session cleanup loop cancelled after 0 cycles
2026-01-19T22:45:35.618327 | INFO     | resource_manager | Orphan cleanup loop cancelled after 0 cycles (total orphans cleaned: 0)
2026-01-19T22:45:35.620651 | INFO     | wrapper      | Starting emergency synchronous shutdown
2026-01-19T22:45:35.620719 | INFO     | wrapper      | No event loop detected, running full emergency shutdown
2026-01-19T22:45:35.621303 | INFO     | wrapper      | Starting graceful shutdown with 10.0s timeout
2026-01-19T22:45:35.621513 | INFO     | resource_manager | Stopping resource manager
2026-01-19T22:45:35.621585 | INFO     | resource_manager | Resource manager stopped
2026-01-19T22:45:35.621721 | INFO     | session_manager | Stopping session manager
2026-01-19T22:45:35.621860 | INFO     | session_manager | Session manager stopped in 0.00s
2026-01-19T22:45:35.622018 | INFO     | wrapper      | Graceful shutdown completed: status=success, duration=0.00s, components_stopped=2/2
2026-01-19T22:47:38.154776 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:47:38.596574 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:47:38.596683 | INFO     | wrapper      | Starting MCP Server on localhost:8776
2026-01-19T22:47:38.597353 | INFO     | wrapper      | Route: /mcp -> None
2026-01-19T22:47:38.597466 | INFO     | wrapper      | Mounted app routes: [Route(path='/mcp', name='StreamableHTTPASGIApp', methods=[])]
2026-01-19T22:47:38.625762 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:47:38.628077 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:47:38.628157 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:47:38.628196 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:47:38.628230 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:47:38.628267 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:47:38.628297 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:47:38.628324 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:47:38.628875 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:47:38.632051 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:47:38.632194 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:48:38.639902 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:48:38.836247 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:48:38.836484 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:48:38.836531 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:48:50.729226 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:48:51.035058 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:48:51.431185 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:48:51.431293 | INFO     | wrapper      | Starting MCP Server on localhost:8776
2026-01-19T22:48:51.432078 | INFO     | wrapper      | Route:  -> None
2026-01-19T22:48:51.432306 | INFO     | wrapper      | Mounted app routes: [Route(path='/mcp', name='StreamableHTTPASGIApp', methods=[])]
2026-01-19T22:48:51.459037 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:48:51.461194 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:48:51.461250 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:48:51.461286 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:48:51.461313 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:48:51.461345 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:48:51.461371 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:48:51.461393 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:48:51.461900 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:48:51.465167 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:48:51.465243 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:49:51.466740 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:49:51.551089 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:49:51.551364 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:49:51.551439 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:50:30.267753 | INFO     | session_manager | Created managed session 0edc15f0-7208-4020-8f11-c6e6e20183e9 with template=python, flavor=small, sandbox_name=sandbox-20260119_225030_267724
2026-01-19T22:50:30.267883 | INFO     | session_manager | Created new session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:50:30.267917 | INFO     | wrapper      | Session event: code_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:30.268003 | INFO     | session_manager | Creating sandbox for session 0edc15f0-7208-4020-8f11-c6e6e20183e9 with template=python
2026-01-19T22:50:31.659905 | INFO     | session_manager | Successfully created and started sandbox for session 0edc15f0-7208-4020-8f11-c6e6e20183e9
2026-01-19T22:50:31.660204 | INFO     | session_manager | Session event: code_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.605478 | INFO     | session_manager | Session event: code_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.606340 | INFO     | wrapper      | Code execution completed: session_id=0edc15f0-7208-4020-8f11-c6e6e20183e9, success=True, time=944ms, session_created=False
2026-01-19T22:50:32.606426 | INFO     | wrapper      | Session event: code_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.669879 | INFO     | wrapper      | Session event: command_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.885280 | INFO     | wrapper      | Command execution completed: session_id=0edc15f0-7208-4020-8f11-c6e6e20183e9, command=sh, exit_code=0, time=215ms, session_created=False
2026-01-19T22:50:32.885465 | INFO     | wrapper      | Session event: command_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.893969 | INFO     | wrapper      | Session event: code_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:32.894081 | INFO     | session_manager | Session event: code_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:33.100436 | INFO     | session_manager | Session event: code_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:33.100821 | INFO     | wrapper      | Code execution completed: session_id=0edc15f0-7208-4020-8f11-c6e6e20183e9, success=True, time=206ms, session_created=False
2026-01-19T22:50:33.100866 | INFO     | wrapper      | Session event: code_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:33.112695 | INFO     | session_manager | Pinning session 0edc15f0-7208-4020-8f11-c6e6e20183e9 with name 'my-pinned-sandbox' (current name: sandbox-20260119_225030_267724)
2026-01-19T22:50:51.553770 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:50:51.627186 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:50:51.627461 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:50:51.627502 | INFO     | resource_manager | Sandbox event: orphan_sandbox_identified | {"sandbox_name":"my-pinned-sandbox"}
2026-01-19T22:50:51.627598 | INFO     | resource_manager | Resource event: orphan_cleanup_batch_started
2026-01-19T22:50:51.931187 | INFO     | session_manager | Successfully pinned session 0edc15f0-7208-4020-8f11-c6e6e20183e9 as 'my-pinned-sandbox'. Container my-pinned-sandbox has been preserved and will not be cleaned up during session timeout.
2026-01-19T22:50:51.995886 | INFO     | wrapper      | Session event: command_execution_started | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
2026-01-19T22:50:52.151566 | INFO     | wrapper      | Command execution completed: session_id=0edc15f0-7208-4020-8f11-c6e6e20183e9, command=sh, exit_code=0, time=155ms, session_created=False
2026-01-19T22:50:52.151805 | INFO     | wrapper      | Session event: command_execution_completed | {"session_id":"0edc15f0-7208-4020-8f11-c6e6e20183e9"}
